model,K,J,nBC
   2,   5,  24,  86
 B(K x J)
   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.2210879734231877-315,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00
   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.1098397257773859-315,   0.2210919259483545-315,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.4047385770731492-319,   0.0000000000000000D+00,   0.4940656458412465-323,   0.0000000000000000D+00,                      NaN,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.5126570170000594-304,   0.1084105717275997-315,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00
   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.1097992519196786-315,   0.2210919259483545-315,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.5304989477413181-314,   0.1084105717275997-315,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00
   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.1097992519196786-315,   0.0000000000000000D+00,   0.2369342353843838-309,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00
   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.1097992667416480-315,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.4047385770731492-319,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.1390671161567001-308,   0.6441874923301093-318,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00
 MUE(K x 1)
   0.1383845182206946D+01,  -0.6816456340584163D+00,  -0.1714612124409064D-01,   0.1973580771775278D+01,   0.5323456375480720D+01
 CSIG(K x K)
   0.1869596902334422D+01,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00
   0.8402027325775122D+00,   0.8870660518863253D+00,   0.0000000000000000D+00,   0.0000000000000000D+00,   0.0000000000000000D+00
   0.1055071199764584D+00,   0.2607859489256076D-01,   0.1866872545904547D+01,   0.0000000000000000D+00,   0.0000000000000000D+00
   0.1318735330667372D+00,   0.1303748124567242D+00,   0.2227374090481880D+00,   0.1320691662302688D+01,   0.0000000000000000D+00
  -0.1423375119121284D+00,  -0.1187170410572574D+00,  -0.2524575859794694D+00,  -0.4276588693517001D+00,   0.1447288576070139D+01
dim_eta,BC_Z_DIM,BD_Z_DIM
   2,  23,  24
nBC_COffDiag,nBD_COffDiag,BC_lo,BC_hi
  85,  23,   0.1000000000000000D+00,   0.8500000000000000D+00
BC_BETA(BC_Z_DIM x 1)
   0.6974761600132716D+00,   0.1440754233661026D+01,   0.8845496117394874D+00,   0.4124869935909219D-01,   0.2093136283418967D+00,  -0.1366428729185385D+00,  -0.5969765022376753D+00,  -0.1623258302614286D+01,  -0.1017440977261057D+01,  -0.8909878354269998D+00,  -0.2866773980216450D+01,   0.2278171217695454D+01,  -0.1360711732668882D+01,  -0.9373453426349917D+00,   0.5050871402748397D+00,  -0.1594784494546639D+01,   0.3999649343124170D-01,   0.5436379248163234D+00,  -0.1572310920249086D+01,  -0.1315809490349134D+01,  -0.8004855161399428D+00,   0.2313338294997540D+00,   0.6994070919627127D-01
BD_BETA(BD_Z_DIM x 1)
  -0.1812170744733508D+00,  -0.1779513470885346D+01,  -0.5147977962145238D+00,  -0.1167599263254323D+01,   0.7768527445609869D+00,  -0.4679037790847594D+00,   0.3785896005219787D+00,   0.6314790550160485D+00,   0.1247375519059860D+01,  -0.1977837067447504D+00,   0.7311362433500648D+00,  -0.4561168665805247D+00,  -0.4153811706662643D+00,  -0.1163177644090958D+01,   0.2510578480713384D+00,   0.6060182957343050D+00,  -0.4635995742581170D+00,  -0.3957389890809596D+00,  -0.2906795914365479D+00,  -0.8524670702559188D+00,   0.1117697156908388D+01,   0.3229922985569511D+00,  -0.4559439146979473D+00,  -0.4232258027383537D-01
BC_C(nBC x dim_eta)
   0.4646560601067716D+00,   0.0000000000000000D+00
   0.4737593206372514D+00,   0.6599990126764588D+00
  -0.2656284333648966D+00,   0.1828607642794465D+00
   0.1216278834852477D+00,   0.1912030071850681D+00
  -0.2330566236632768D+00,   0.7726838534557612D-01
   0.7237478796869994D-01,   0.1776237102599241D+00
   0.2226269693080989D+00,   0.2527144298971943D+00
   0.1663801597089554D+00,   0.2414528008418104D+00
  -0.1367489283061358D+00,   0.3483719829873698D+00
  -0.9140533461218504D-02,   0.2518821275139357D+00
   0.1017740724302220D+00,   0.2647549323075322D+00
  -0.3267935415124533D+00,   0.1715798022931528D+00
  -0.9254326074481185D-01,   0.2024876774386809D+00
  -0.3939240062525858D-01,   0.2224670843206011D+00
  -0.3844465258593566D+00,   0.1594319336123553D+00
   0.4031437891853558D+00,   0.1960016844292119D+00
  -0.6395981815909234D+00,   0.4279311688717602D+00
  -0.5447736953505113D+00,   0.5460754618990051D+00
   0.1245382668642391D+00,   0.3416383375369081D+00
  -0.9403202735099427D-01,   0.3814599475536308D+00
   0.4070392806176949D+00,   0.1752080446498891D+00
   0.1553622852589054D+00,   0.7045337520126785D-01
  -0.4532833494434885D-01,   0.4982786354326995D+00
  -0.2103872172510204D+00,   0.9742455823755362D-01
  -0.2326933444761387D+00,   0.7567563824419855D-01
   0.1540106443122989D+00,   0.1078757120083127D+00
  -0.1427770599880203D-01,   0.1752059321631734D+00
  -0.9722776400369809D-01,   0.7272390382338101D+00
   0.4389583632669670D+00,   0.3029436410349320D+00
   0.4767256108150372D-01,   0.1827943579400664D+00
   0.8064033310337486D-01,   0.7106421962151428D-01
  -0.6052606476727244D+00,   0.4142994010186737D+00
   0.6210518506007210D-01,   0.3001295552654397D+00
  -0.5168868030628149D-01,   0.3554191366924796D+00
   0.2125779467802649D+00,   0.2171706737508139D+00
  -0.6936832690070192D-01,   0.2943839134412384D+00
   0.2039944884729293D+00,   0.2633140695526164D+00
  -0.1715799000017084D+00,   0.2464623457045051D+00
  -0.1678214538209111D+00,   0.1978772665629564D+00
  -0.2362524745650879D+00,   0.1965190366863468D+00
   0.4281507468901481D-02,   0.3048894838281913D+00
   0.2578639008920343D+00,   0.1622473802283384D+00
   0.2485448964844728D+00,   0.3011396026425133D+00
  -0.5538235145265027D+00,   0.2146565709508526D+00
   0.2379344642749299D+00,   0.2328777244292008D+00
  -0.5691097071052313D+00,   0.1875038680053232D+00
  -0.5815862818048494D-01,   0.3190074692030313D+00
  -0.8970837166225998D-01,   0.3572340039302304D-01
   0.3551975746869989D+00,   0.1361871369347154D+00
   0.5637306059501584D-01,   0.4769290993313495D+00
   0.1951433600640079D+00,   0.1280472533661543D+00
  -0.3816013232124246D+00,   0.2597229803642871D+00
   0.5087123801425323D+00,   0.2075607750966316D+00
  -0.4494968553492579D+00,   0.3588668831040136D+00
  -0.2604662349273844D+00,   0.1449387239773382D+00
  -0.3149495654258530D+00,   0.1413520825412647D+00
   0.2342117513184299D+00,   0.1630004418503841D+00
   0.7196299322608986D-01,   0.3407859036810088D+00
   0.1541947316356780D+00,   0.2525528198564645D+00
  -0.2610784022185071D+00,   0.2344227646341999D+00
   0.7340716208898612D-02,   0.1306634924983593D+00
  -0.2775974718728805D+00,   0.1042059389013194D+00
   0.1310579033344557D+00,   0.1331929335584058D+00
   0.1882813026745174D+00,   0.2927430613297504D+00
   0.3633982984085485D+00,   0.2648111166206107D+00
   0.2087975170406461D+00,   0.1485067389136667D+00
  -0.3416503162932870D+00,   0.1797463073373068D+00
  -0.1259078940067642D+00,   0.5561124579422158D+00
  -0.4020782693027379D-01,   0.3015396305009906D+00
   0.2326714746216762D+00,   0.1022132822839482D+00
  -0.1777213653227648D+00,   0.7806047175930735D-01
   0.5932386319418973D-02,  -0.1553030642417466D-01
   0.1265215582239402D+00,   0.4279396942792143D+00
  -0.1107531248019827D+00,   0.5964949375917448D+00
   0.3091564854018452D-01,   0.2515630953591382D+00
   0.2695175688158034D+00,   0.2538958506977269D+00
   0.2360578126947062D+00,   0.3311151220649932D+00
   0.1989847477988908D-01,   0.4938426021453376D+00
   0.2105094381214028D+00,   0.2382560019877444D+00
   0.1898074378726421D+00,   0.2888728737692205D+00
   0.4289794197236788D-01,   0.3111984190575031D+00
   0.2718037793119060D+00,   0.1545350439862623D+00
  -0.2953830449322508D+00,   0.1031142467898180D+00
  -0.2950988689589913D+00,   0.1122198722286238D+00
   0.1076026156432343D-01,   0.3441273679888492D+00
   0.5016189766149599D-02,   0.3116033908026658D+00
  BD_C(J x dim_eta)
  -0.4097996595475134D-01,   0.0000000000000000D+00
   0.3853095836573858D+00,   0.7890028366086608D+00
  -0.7641203968363403D+00,   0.3349922863458475D+00
   0.1330494031402127D+00,   0.9222330712596468D+00
   0.8660555615645085D-01,   0.3808173841203466D-01
  -0.3247082212977825D-01,   0.2614708693993290D-01
   0.1721953363493040D+00,   0.3170690741933917D+00
   0.2802637167848588D+00,   0.1671564868521475D+00
  -0.1373247874056288D-01,   0.3309149127758188D+00
   0.5393755433887354D+00,   0.2413074656067808D+00
   0.3890977335858993D+00,   0.5262138779264673D+00
  -0.2523914901866809D+00,   0.8239682739036576D-01
  -0.3159020082819627D-01,   0.1049601895962815D-01
  -0.9344627970068793D-01,   0.4036108078248293D+00
   0.3650192816854492D+00,   0.1543234536835147D+00
   0.3336552892216696D+00,   0.3615735149089482D+00
   0.1482919385599629D+00,   0.3154384946317506D+00
  -0.2037621949594304D+00,   0.1433056458843881D+00
